question,query
What is the average energy generation of all energy sources considered?,"SELECT (AVG(?elec_gen_value) AS ?average_elec_gen_value)
WHERE {
  orkgr:R153801 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P43135 ?energy_sources.
  ?energy_sources rdfs:label ?energy_sources_labels;
                  orkgp:P43134 ?electricity_generation.
  FILTER(REGEX(?energy_sources_labels, ""all sources""))
  ?electricity_generation orkgp:HAS_VALUE ?value.
  BIND(xsd:float(?value) AS ?elec_gen_value)
}"
What is the average installed capacity of all energy sources considered?,"SELECT (AVG(?installed_cap_value) AS ?average_installed_cap_value)
WHERE {
  orkgr:R153801 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P43135 ?energy_sources.
  ?energy_sources rdfs:label ?energy_sources_labels;
                  orkgp:P43133 ?installed_capacity.
  FILTER(REGEX(?energy_sources_labels, ""all sources""))
  ?installed_capacity orkgp:HAS_VALUE ?value.
  BIND(xsd:float(?value) AS ?installed_cap_value)
}"
What is the average energy generation for each energy source considered?,"SELECT ?energy_sources_labels (AVG(?elec_gen_value) AS ?average_elec_gen_value)
WHERE {
  orkgr:R153801 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P43135 ?energy_sources.
  ?energy_sources rdfs:label ?energy_sources_labels;
                  orkgp:P43134 ?elec_gen.
  ?elec_gen orkgp:HAS_VALUE ?value.
  BIND(xsd:float(?value) AS ?elec_gen_value)
}"
What is the average installed capacity for each energy source considered?,"SELECT ?energy_sources_labels (AVG(?installed_cap_value) AS ?average_installed_cap_value)
WHERE {
  orkgr:R153801 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P43135 ?energy_sources.
  ?energy_sources rdfs:label ?energy_sources_labels;
                  orkgp:P43133 ?installed_capacity.
  ?installed_capacity orkgp:HAS_VALUE ?value.
  BIND(xsd:float(?value) AS ?installed_cap_value)
}"
What is the minimum and maximum energy generation for each energy source considered?,"SELECT ?energy_sources_labels (MIN(?elec_gen_value) AS ?min_elec_gen_value) (MAX(?elec_gen_value) AS ?max_elec_gen_value)
WHERE {
  orkgr:R153801 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P43135 ?energy_sources.
  ?energy_sources rdfs:label ?energy_sources_labels;
                  orkgp:P43134 ?elec_gen.
  ?elec_gen orkgp:HAS_VALUE ?value.
  BIND(xsd:float(?value) AS ?elec_gen_value)
}"
What is the minimum and maximum installed capacity for each energy source considered?,"SELECT ?energy_sources_labels (MIN(?installed_cap_value) AS ?min_installed_cap_value) (MAX(?installed_cap_value) AS ?max_installed_cap_value)
WHERE {
  orkgr:R153801 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P43135 ?energy_sources.
  ?energy_sources rdfs:label ?energy_sources_labels;
                  orkgp:P43133 ?installed_capacity.
  ?installed_capacity orkgp:HAS_VALUE ?value.
  BIND(xsd:float(?value) AS ?installed_cap_value)
}"
What is the average energy generation for each energy source considered in 5 year intervals?,"SELECT ?rangeId ?energy_sources_labels (AVG(?eng_gen_value) AS ?avg_eng_gen_value)
WHERE {
  orkgr:R153801 orkgp:compareContribution ?contrib.
  ?paper orkgp:P31 ?contrib;
         orkgp:P29 ?year.
  BIND(xsd:int(?year) AS ?y).
  VALUES (?rangeId ?min ?max) {
    (""2001-2005"" 2001 2005)
    (""2006-2010"" 2006 2010)
    (""2011-2015"" 2011 2015)
    (""2016-2020"" 2016 2020)
  }
  FILTER(?min <= ?y && ?y <= ?max).
  ?contrib orkgp:P43135 ?energy_sources.
  ?energy_sources rdfs:label ?energy_sources_labels;
                  orkgp:P43134 ?energy_generation.
  ?energy_generation orkgp:HAS_VALUE ?value.
  BIND(xsd:float(?value) AS ?eng_gen_value).
}
ORDER BY ASC(?rangeId)"
What is the average installed capacity for each energy source considered in 5 year intervals?,"SELECT ?rangeId ?energy_sources_labels (AVG(?installed_cap_value AS ?avg_installed_cap_value))
WHERE {
  orkgr:R153801 orkgp:compareContribution ?contrib.
  ?paper orkgp:P31 ?contrib;
         orkgp:P29 ?year.
  BIND(xsd:int(?year) AS ?y).
  VALUES(?rangeId ?min ?max) {
    (""2001-2005"" 2001 2005)
    (""2006-2010"" 2006 2010)
    (""2011-2015"" 2011 2015)
    (""2016-2020"" 2016 2020)
  }
  FILTER(?min <= ?y && ?y <= ?max).
  ?contrib orkgp:P43135 ?energy_sources.
  ?energy_sources rdfs:label ?energy_sources_labels;
                  orkgp:P43133 ?installed_capacity.
  ?installed_capacity orkgp:HAS_VALUE ?value.
  BIND(xsd:float(?value) AS ?installed_cap_value).
}
ORDER BY ASC(?rangeId)"
Where can all the data sets used in the compared studies be found?,"SELECT DISTINCT ?URL
WHERE {
  orkgr:R112387 orkgp:compareContribution ?contrib.
  ?contrib orkgp:HAS_DATASET ?URL.
  FILTER(!REGEX(?URL, ""Not""))
}"
"What are the precision, recall, and f1 values of all compared studies that used the algorithm naive bayes in combination with the machine learning feature bag of words to classfy user feedback as feature request? ","SELECT ?precision ?recall ?f1
WHERE {
  orkgr:R112387 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P15006 ?algorithms.
  ?algorithms rdfs:label ?alg_names.
  FILTER(REGEX(?alg_names, ""Naive bayes""))
  ?algorithms orkgp:P36075 ?features.
  ?features rdfs:label ?fea_names.
  FILTER(REGEX(?fea_names, ""Bag of words""))
  ?features orkgp:P37029 ?categories.
  ?categories rdfs:label ?cat_names.
  FILTER(REGEX(?cat_names, ""Feature request""))
  ?categories orkgp:P3004 ?precision;
              orkgp:P5015 ?recall;
              orkgp:P18037 ?f1.
}"
Which are five the most common research fields for papers?,"SELECT ?research_field, ?research_field_labels
WHERE {
  ?papers orkgp:P30 ?research_field.
  ?research_field rdfs:label ?research_field_labels.
}
ORDER BY DESC(COUNT(?research_field_labels))
LIMIT 5"
What are economics subfields?,"SELECT DISTINCT ?subfields, ?subfields_labels
WHERE {
  ?papers orkgp:P30 ?research_fields.
  ?research_fields rdfs:label ""Economics""^^xsd:string.
  ?research_fields orkgp:P36 ?subfields.
  ?subfields rdfs:label ?subfields_labels. 
}"
Which vegetables are utilized for betanin extraction?,"SELECT ?vegetables, ?vegetables_labels
WHERE {
  orkgr:R75363 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P35147 ?compounds.
  ?compounds rdfs:label ?compounds_labels.
  FILTER(REGEX(?compounds_labels, ""etanin""))
  ?contrib orkgp:P35148 ?vegetables.
  ?vegetables rdfs:label ?vegetables_labels.
}"
What are the objectives for Sepsis prediction?,"SELECT DISTINCT ?objectives
WHERE {
  orkgr:R70642 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P15051 ?objectives.
}"
Is Cobb-Douglas functional applied in the studies?,"ASK {
  orkgr:R34493 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P15661 ?funcionals.
  ?funcionals rdfs:label ?funtionals_labels.
  FILTER(REGEX(?funtionals_labels, ""Cobb-Douglas""))
}"
What is the total number of patients in the studies?,"SELECT SUM(?number_of_patients)
WHERE {
  orkgr:R33008 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P15585 ?patients.
  BIND(xsd:integer(?patients) AS ?number_of_patients)
}"
What is the maximum egg mass in studies?,"SELECT MAX(?egg_masses_float)
WHERE {
  orkgr:R34845 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P15692 ?egg_masses.
  BIND(xsd:float(?egg_masses) AS ?egg_masses_float)
}"
What is the most common substrate for catalysts?,"SELECT ?substrate
WHERE {
  orkgr:R25900 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P15090 ?substrate.
}
ORDER BY DESC(COUNT(?substrate))
LIMIT 1"
In which papers are energy system scenarios used that consider the 2050 time frame?,"SELECT ?paper
WHERE {
  {
    orkgr:R150337 orkgp:compareContribution ?contrib.
  } UNION {
    orkgr:R153801 orkgp:compareContribution ?contrib.
  }
  ?paper orkgp:P31 ?contrib.
  {
     ?contrib orkgp:P37586 ?scenarios.
     ?scenarios orkgp:P37675 ?studies.
     ?studies orkgp:P35205 ?timeframes.
  } UNION {
     ?contrib orkgp:P37581 ?scenario.
     ?scenario orkgp:P43138 ?goal.
     ?goal orkgp:P43139 ?timeframes.
  }
  FILTER(xsd:int(?timeframes) = 2050)
}"
Which sectors are modeled as energy sectors and how often?,"SELECT ?label COUNT(?label)
WHERE {
  ?sector rdfs:label ?label;
          a ?class.
  ?class owl:equivalentClass <http://openenergy-platform.org/ontology/oeo/OEO_00000367>.
  [
    orkgp:P37668 ?sector
  ].
}"
Which sector is the most commonly modeled energy sector?,"SELECT ?label (COUNT(?label) AS ?number)
WHERE {
  ?sector rdfs:label ?label;
          a ?class.
  ?class owl:equivalentClass <http://openenergy-platform.org/ontology/oeo/OEO_00000367>.
  orkgr:R150337 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P37586 ?scenario.
  ?scenario orkgp:P37675 ?study.
  ?study orkgp:P37668 ?sector.
  
}
ORDER BY DESC(?number)
LIMIT 1"
For which region of data collection the number of sampling stations is the largest?,"SELECT ?region
WHERE {
  orkgr:R155584 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P41068 ?number_of_stations;
           orkgp:P27029 ?region.
}
ORDER BY DESC(?number_of_stations)
LIMIT 1"
What are areas of study?,"SELECT DISTINCT ?areas, ?areas_labels
WHERE {
  orkgr:R155445 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P37041 ?areas.
  ?areas rdfs:label ?areas_labels.
}"
What is the most common drug in the studies?,"SELECT ?drug, ?drug_labels
WHERE {
  orkgr:R155621 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P37578 ?drug.
  ?drug rdfs:label ?drug_labels.
}
ORDER BY DESC(COUNT(?drug))
LIMIT 1"
Do all studies include open ocean sampling?,"ASK {
  {
    SELECT (COUNT(?ocean_sampling) AS ?counter)
    WHERE {
      orkgr:R155561 orkgp:compareContribution ?contrib.
      ?contrib orkgp:P41379 ?ocean_sampling.
      FILTER(?ocean_sampling = ""F""^^xsd:string)
    }
  }
  FILTER(?counter = 0)
}"
For what product minimum conversion was obtained?,"SELECT ?product, ?product_label
WHERE {
  orkgr:R155272 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P43149 ?product;
           orkgp:P43148 ?conversion.
  ?product rdfs:label ?product_label.
  ?conversion rdfs:label ?conversion_label.
}
ORDER BY ASC(xsd:float(?conversion_label))
LIMIT 1"
What is the average efficency for experiments?,"SELECT AVG(?efficency_values)
WHERE {
  orkgr:R155266 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P43156 ?efficency.
  ?efficency rdfs:label ?efficency_labels.
  BIND(xsd:float(?efficency_labels) AS ?efficency_values)
}"
What preprocessing methods are used?,"SELECT DISTINCT ?prep_methods, ?prep_methods_labels
WHERE {
  orkgr:R155154 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P41006 ?prep_methods.
  ?prep_methods rdfs:label ?prep_methods_labels.
}"
What is the most common type of biosensor?,"SELECT ?biosensor
WHERE {
  orkgr:R151435 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P43095 ?biosensor.
}
ORDER BY DESC(COUNT(?biosensor))
LIMIT 1"
Where did the study with maximal geographic scale take place?,"SELECT ?location, ?location_label
WHERE {
  {
    SELECT (MAX(?geo_scale) AS ?max_geo_scale)
    WHERE {
      orkgr:R149849 orkgp:compareContribution ?contrib.
      ?contrib orkgp:P41568 ?geo_scale.
    }
  }
  orkgr:R149849 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P41568 ?geo_scale;
           orkgp:P37524 ?location.
  ?location rdfs:label ?location_label.
  FILTER(?geo_scale = ?max_geo_scale)
}"
Which energy system modeling papers indicate where to find their simulation software and whether there are associated simulation scenarios mentioned in ORKG?,"SELECT ?repo ?scenario ?simulation_parameters
WHERE {
  ?paper orkgp:P31 ?contrib.
  ?contrib orkgp:P37586 ?model.
  ?model orkgp:P39010 ?code.
  ?code orkgp:P4077 ?repo.
  OPTIONAL {
    ?model orkgp:P43146 ?scenario.
    {
      SELECT ?scenario ?simulation_parameters
      WHERE {
        ?scenario orkgp:P31 ?contrib2.
        ?contrib2 orkgp:P37586 ?model2.
        ?model2 orkgp:P37583 ?data.
        ?data orkgp:HAS_DATASET ?dataset.
        ?dataset orkgp:P37343 ?type;
                 orkgp:P4059 ?simulation_parameters.
        ?type rdfs:label ?label.
        FILTER(REGEX(?label, ""Technical""))
      }
    }
  }
}"
Which energy system modeling papers indicate where to find their simulation software?,"SELECT ?repo
WHERE {
  ?paper a orkgc:Paper.
  ?paper orkgp:P31 ?contrib.
  ?contrib orkgp:P37586 ?model.
  ?model orkgp:P39010 ?code.
  ?code orkgp:P4077 ?repo.
}"
What quantity of iron oxide was discovered on Elorza crater?,"SELECT ?properties_values, ?property_description
WHERE {
  ?papers rdf:type orkgc:Paper.
  ?papers rdfs:label ?papers_labels.
  FILTER(REGEX(?papers_labels, ""Elorza crater"", ""i""))
  ?papers orkgp:P31 ?contrib.
  ?contrib ?properties ?properties_values.
  ?properties rdfs:label ?properties_labels.
  FILTER(REGEX(?properties_labels, ""FeO""))
  ?properties orkgp:description ?property_description.
}"
What is another name for Bisphenol A?,"SELECT ?same_name_label
WHERE {
  ?resources rdfs:label ?resources_labels.
  FILTER(REGEX(?resources_labels, ""Bisphenol A"", ""i""))
  ?resources orkgp:SAME_AS ?same_name.
  ?same_name rdfs:label ?same_name_label.
}"
What is the amount of questions for LC-QuAD 2.0 dataset?,"SELECT ?number_of_questions
WHERE {
  orkgr:R154290 orkgp:P31 ?contrib.
  ?contrib orkgp:P41923 ?number_of_questions.
}"
What is the emergency type of AMBER Alert?,"SELECT DISTINCT ?emergency_type
WHERE {
  orkgr:R153500 orkgp:P31 ?contrib.
  ?contrib orkgp:P43093 ?emergency_type.
}"
What data format does CHEMDNER corpus have?,"SELECT ?data_format, ?data_format_label
WHERE {
  orkgr:R150596 orkgp:P31 ?contrib.
  ?contrib orkgp:P42011 ?data_format.
  ?data_format rdfs:label ?data_format_label.
}"
What are the research problems Vernier Effect is related to?,"SELECT DISTINCT ?problems, ?problems_labels
WHERE {
  ?papers rdf:type orkgc:Paper.
  ?papers rdfs:label ?papers_labels.
  FILTER(REGEX(?papers_labels, ""Vernier Effect"", ""i""))
  ?papers orkgp:P31 ?contrib.
  ?contrib orkgp:P32 ?problems.
  ?problems rdfs:label ?problems_labels.
}"
When the earliest paper related to X-rays was published? ,"SELECT ?publication_years
WHERE {
  ?papers rdf:type orkgc:Paper.
  ?papers rdfs:label ?papers_labels.
  FILTER(REGEX(?papers_labels, ""X-ray"", ""i""))
  ?papers orkgp:P29 ?publication_years. 
}
ORDER BY ASC(?publication_years)
LIMIT 1"
Who are the authors of the SOSA ontology?,"SELECT ?authors
WHERE {
  ?papers rdf:type orkgc:Paper.
  ?papers rdfs:label ?papers_labels.
  FILTER(REGEX(?papers_labels, ""^SOSA""))
  ?papers orkgp:P27 ?authors.
}"
Does FEEM Sustainability Index consider air quality?,"ASK {
  ?papers rdf:type orkgc:Paper.
  ?papers rdfs:label ?papers_labels.
  FILTER(REGEX(?papers_labels, ""FEEM Sustainability Index""))
  ?papers orkgp:P31 ?contrib.
  ?contrib ?properties ?properties_values.
  ?properties rdfs:label ?properties_labels.
  FILTER(REGEX(?properties_labels, ""air quality"", ""i""))
  FILTER(?properties_values = ""yes"")
}"
What museums were involved in the IntARSI project?,"SELECT ?museums, ?museums_labels
WHERE {
  ?papers rdf:type orkgc:Paper.
  ?papers rdfs:label ?papers_labels.
  FILTER(REGEX(?papers_labels, ""IntARSI""))
  ?papers orkgp:P31 ?contrib.
  ?contrib orkgp:P41242 ?museums.
  ?museums rdfs:label ?museums_labels.
}"
What is Raman spectroscopy?,"SELECT ?definitions
WHERE {
  ?terms orkgp:P24009 ?definitions.
  ?terms rdfs:label ?terms_labels.
  FILTER(REGEX(?terms_labels, ""Raman spectroscopy""))
}"
Does ViCoMap support aggregation?,"SELECT ?has_aggregation_support
WHERE {
  ?application rdfs:label ""ViCoMap""^^xsd:string;
               orkgp:P5038 ?has_aggregation_support_.
  BIND(
    IF(?has_aggregation_support_ = ""T""^^xsd:string, ""yes"", ""no"")
    AS ?has_aggregation_support
  )
}"
What are the research problems of the cultural history field?,"SELECT DISTINCT ?research_problems, ?research_problems_labels
WHERE {
  ?papers rdf:type orkgc:Paper.
  ?papers orkgp:P30 ?research_fields.
  ?research_fields rdfs:label ?research_fields_labels. 
  FILTER(REGEX(?research_fields_labels, ""cultural history"", ""i""))
  ?papers orkgp:P31 ?contrib.
  ?contrib orkgp:P32 ?research_problems.
  ?research_problems rdfs:label ?research_problems_labels.
}"
Who are the co-authors of Kurt Thomas?,"SELECT ?co_authors
WHERE {
  ?papers rdf:type orkgc:Paper.
  ?papers orkgp:P27 ?authors.
  FILTER(REGEX(?authors, ""Kurt Thomas""))
  ?papers orkgp:P27 ?co_authors.
  FILTER(?co_authors != ""Kurt Thomas""^^xsd:string)
}"
When MedPost model was published?,"SELECT ?year
WHERE {
  ?papers rdf:type orkgc:Paper.
  ?papers rdfs:label ?papers_labels.
  FILTER(REGEX(?papers_labels, ""MedPost""))
  ?papers orkgp:P29 ?year.
}"
Who is the author with the largest number of papers about semantic representation in music research problem? ,"SELECT ?author
WHERE {
  ?papers rdf:type orkgc:Paper.
  ?papers orkgp:P31 ?contrib.
  ?contrib orkgp:P32 ?research_problems.
  ?research_problems rdfs:label ?research_problems_labels.
  FILTER(REGEX(?research_problems_labels, ""semantic representation in music"", ""i""))
  ?papers orkgp:P27 ?authors.
  OPTIONAL {
    ?authors rdfs:label ?authors_labels
  }
  BIND(IF(BOUND(?authors_labels), ?authors_labels, ?authors) AS ?author)
}
ORDER BY DESC(COUNT(?author))
LIMIT 1"
What types of nanocarriers do have therapeutic effect?,"SELECT ?types_of_nanocarriers, ?types_of_nanocarriers_labels
WHERE {
  orkgr:R144364 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P41740 ?types_of_nanocarriers.
  ?contrib orkgp:P41743 ?therapeutic_effect.
  FILTER(?therapeutic_effect = ""T""^^xsd:string)
  ?types_of_nanocarriers rdfs:label ?types_of_nanocarriers_labels.
}"
Does OWLMAP imply integrity constraints?,"ASK {
  ?approach rdfs:label ""OWLMAP""^^xsd:string.
  ?contrib ?predicate ?approach.
  ?contrib orkgp:P41333 ?integrity_constraints.
  FILTER(?integrity_constraints = ""t""^^xsd:string)
}"
For what piezoresistive material the least response time was obtained?,"SELECT ?piezoresistive_materials WHERE {
  orkgr:R138374 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P41021 ?piezoresistive_materials.
  ?contrib orkgp:P41022 ?response_time.
}
ORDER BY ASC(?response_time)
LIMIT 1"
What is the maximum reaction yield for the studies? ,"SELECT ?reactions_yield WHERE {
  orkgr:R137086 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P37560 ?reactions_yield.
}
ORDER BY DESC(?reactions_yield)
LIMIT 1"
